SRC_ID_Customer,AccountNumber,SRC_ID_Store,StoreName,SRC_ID_CustomerTerritory,CustomerTerritoryName,CustomerTerritoryCountryRegionCode,SRC_ID_Person,PersonPersonType,PersonTitle,PersonFirstName,PersonMiddleName,PersonLastName,PersonEmailPromotion
29854,AW00029854,1110,Local Sales and Rental,3,Central,US,1109,SC,Mr.,Peter,,Houston,2
29855,AW00029855,1112,Economy Center,6,Canada,CA,1111,SC,Mr.,Curtis,P.,Howard,0
29856,AW00029856,1114,Community Department Stores,7,France,FR,1113,SC,Mr.,Joe,,Howard,2
29857,AW00029857,1116,Area Sheet Metal Supply,10,United Kingdom,GB,1115,SC,Ms.,Janice,K.,Hows,2
29858,AW00029858,1118,Synthetic Materials Manufacturing,1,Northwest,US,1117,SC,Mr.,George,M.,Huckaby,0
29859,AW00029859,1120,Rural Sales and Service,4,Southwest,US,1119,SC,Mr.,Joshua,J.,Huff,1
29860,AW00029860,1122,Tubeless Tire Company,10,United Kingdom,GB,1121,SC,Ms.,Arlene,,Huff,1
29861,AW00029861,1126,Hardware Components,3,Central,US,1125,SC,Ms.,Phyllis,R.,Huntsman,2
29862,AW00029862,1128,Retail Sporting Goods,1,Northwest,US,1127,SC,Mr.,Lawrence,E.,Hurkett,1
29863,AW00029863,1130,Efficient Cycling,6,Canada,CA,1129,SC,Mr.,Ryan,,Ihrig,2
29864,AW00029864,1132,General Industries,6,Canada,CA,1131,SC,Ms.,Beth,,Inghram,1
29865,AW00029865,1134,Highway Bike Shop,4,Southwest,US,1133,SC,Mr.,Lucio,,Iallo,2
29866,AW00029866,1136,Rental Bikes,4,Southwest,US,1135,SC,Mr.,Richard,L.,Irwin,0
29867,AW00029867,1138,Roving Sports,1,Northwest,US,1137,SC,Mr.,Erik,,Ismert,2
29868,AW00029868,1140,Express Bike Services,10,United Kingdom,GB,1139,SC,Ms.,Denean,J.,Ison,1
29869,AW00029869,1142,Major Amusement Company,7,France,FR,1141,SC,Mr.,Raman,,Iyer,0
29870,AW00029870,1144,Retail Discount Store,6,Canada,CA,1143,SC,Mr.,Bronson,R.,Jacobs,2
29871,AW00029871,1146,Vale Riding Supplies,4,Southwest,US,1145,SC,Mr.,Eric,A.,Jacobsen,0
29872,AW00029872,1148,A Great Bicycle Company,3,Central,US,1147,SC,Ms.,Jodan,M.,Jacobson,0
29873,AW00029873,1150,Certified Bicycle Supply,1,Northwest,US,1149,SC,Ms.,Mary,,Alexander,0
29874,AW00029874,1152,Exceptional Cycle Services,10,United Kingdom,GB,1151,SC,Mr.,David,,Jaffe,0
29875,AW00029875,1154,Instant Cycle Store,7,France,FR,1153,SC,Mr.,Jay,,Jamison,1
29876,AW00029876,1156,Leisure Activities,6,Canada,CA,1155,SC,Ms.,Vance,P.,Johns,0
29877,AW00029877,1158,Paints and Solvents Company,3,Central,US,1157,SC,Ms.,Joyce,,Jarvis,0
29878,AW00029878,1160,West Wind Distributors,8,Germany,DE,1159,SC,Mr.,George,,Jiang,0
29879,AW00029879,1162,Bikes for Kids and Adults,6,Canada,CA,1161,SC,Mr.,Stephen,Yuan,Jiang,0
29880,AW00029880,1164,Consolidated Sales,5,Southeast,US,1163,SC,Mr.,Samuel,A.,Johnson,0
29881,AW00029881,1166,Home Town Bike Store,6,Canada,CA,1165,SC,Ms.,Danielle,B.,Johnson,1
29882,AW00029882,1168,Optimal Bikes,5,Southeast,US,1167,SC,Mr.,Greg,M.,Johnson,1
29883,AW00029883,1170,Sample Bike Store,3,Central,US,1169,SC,Mr.,Barry,,Johnson,1
29884,AW00029884,1172,Extras Sporting Goods,3,Central,US,1171,SC,Mr.,Brian,,Johnson,2
29885,AW00029885,1174,Sure & Reliable Sporting Goods,1,Northwest,US,1173,SC,Mr.,David,,Johnson,2
29886,AW00029886,1176,Eleventh Bike Store,2,Northeast,US,1175,SC,Mr.,Willis,,Johnson,1
29887,AW00029887,1178,Enterprise Center,8,Germany,DE,1177,SC,Ms.,Tamara,,Johnston,0
29888,AW00029888,1182,New and Used Bicycles,5,Southeast,US,1181,SC,Mr.,Brannon,,Jones,2
29889,AW00029889,1184,Separate Parts Corporation,4,Southwest,US,1183,SC,Ms.,Jean,,Jordan,1
29890,AW00029890,1186,Basic Bike Company,1,Northwest,US,1185,SC,Ms.,Peggy,J.,Justice,0
29891,AW00029891,1188,Fabrikam Inc., West,3,Central,US,1187,SC,Ms.,Diane,F.,Krane,0
29892,AW00029892,1192,Non-Slip Pedal Company,6,Canada,CA,1191,SC,Ms.,Sandra,T.,Kitt,0
29893,AW00029893,1196,Weekend Bike Tours,4,Southwest,US,1195,SC,Mr.,Sandeep,,Kaliyath,0
29894,AW00029894,1198,Fabrikam Inc., East,8,Germany,DE,1197,SC,Mr.,John,,Kane,1
29895,AW00029895,1200,General Supplies,6,Canada,CA,1199,SC,Ms.,Lori,,Kane,0
29896,AW00029896,1202,Noiseless Gear Company,5,Southeast,US,1201,SC,Ms.,Judith,F.,Krane,2
29897,AW00029897,1204,Racing Toys,4,Southwest,US,1203,SC,Ms.,Kay,E.,Krane,0
29898,AW00029898,1206,Capable Sales and Service,1,Northwest,US,1205,SC,Mr.,Sandeep,,Katyal,2
29899,AW00029899,1210,Pretty Bikes and Toys,7,France,FR,1209,SC,Mr.,Kendall,,Keil,0
29900,AW00029900,1212,Road Way Sales and Rental,6,Canada,CA,1211,SC,Mr.,Victor,A.,Kelley,2
29901,AW00029901,1214,Sturdy Toys,4,Southwest,US,1213,SC,Mr.,John,,Kelly,1
29902,AW00029902,1216,Beneficial Exercises and Activities,4,Southwest,US,1215,SC,Mr.,Robert,,Kelly,1
29903,AW00029903,1218,Fad Outlet,1,Northwest,US,1217,SC,Mr.,Kevin,,Kennedy,1
29904,AW00029904,1220,Commerce Bicycle Specialists,10,United Kingdom,GB,1219,SC,Ms.,Mary,R.,Kesslep,0
29905,AW00029905,1224,Acceptable Sales & Service,6,Canada,CA,1223,SC,Ms.,Elizabeth,,Keyser,0
29906,AW00029906,1228,District Mall,3,Central,US,1227,SC,Mr.,Imtiaz,,Khan,0
29907,AW00029907,1230,Fitness Supplies,1,Northwest,US,1229,SC,Ms.,Karan,,Khanna,0
29908,AW00029908,1232,Mail Market,10,United Kingdom,GB,1231,SC,Mr.,Joe,,Kim,2
29909,AW00029909,1234,Spare Parts Co.,7,France,FR,1233,SC,Mr.,Jim,,Kim,0
29910,AW00029910,1236,Twelfth Bike Store,6,Canada,CA,1235,SC,Mr.,Shane,S.,Kim,0
29911,AW00029911,1238,Consolidated Messenger,6,Canada,CA,1237,SC,Mr.,Tim,,Kim,0
29912,AW00029912,1240,Daring Rides,5,Southeast,US,1239,SC,Mr.,Russell,,King,0
29913,AW00029913,1242,Field Trip Store,3,Central,US,1241,SC,Mr.,Anton,,Kirilov,1
29914,AW00029914,1244,Finish and Sealant Products,4,Southwest,US,1243,SC,Mr.,Christian,,Kleinerman,0
29915,AW00029915,1246,Finer Parts Shop,1,Northwest,US,1245,SC,Mr.,Andrew,P.,Kobylinski,0
29916,AW00029916,1248,Glossy Bikes,2,Northeast,US,1247,SC,Mr.,Reed,,Koch,1
29917,AW00029917,1250,Next Door Cycles,8,Germany,DE,1249,SC,Mr.,Jim,,Kennedy,2
29918,AW00029918,1252,Up-To-Date Sports,6,Canada,CA,1251,SC,Mr.,Kirk,T,King,2
29919,AW00029919,1254,Mountain Bike Center,4,Southwest,US,1253,SC,Mr.,Eugene,,Kogan,0
29920,AW00029920,1256,Specialty Sports Store,4,Southwest,US,1255,SC,Mr.,Scott,,Konersmann,2
29921,AW00029921,1258,Scooters and Bikes Store,1,Northwest,US,1257,SC,Ms.,Joy,R.,Koski,0
29922,AW00029922,1260,Closest Bicycle Store,10,United Kingdom,GB,1259,SC,Ms.,Pamala,M.,Kotc,2
29923,AW00029923,1262,Roadway Bicycle Supply,7,France,FR,1261,SC,Mr.,Edward,J.,Kozlowski,0
29924,AW00029924,1266,Reasonable Bicycle Sales,3,Central,US,1265,SC,Mr.,Mitch,,Kennedy,1
29925,AW00029925,1270,Outdoor Sports Supply,1,Northwest,US,1269,SC,Ms.,Margaret,T.,Krupka,0
29926,AW00029926,1272,Outdoor Aerobic Systems Company,10,United Kingdom,GB,1271,SC,Mr.,Deepak,,Kumar,0
29927,AW00029927,1274,Self-Contained Cycle Parts Company,7,France,FR,1273,SC,Mr.,Jeffrey,B.,Kung,0
29928,AW00029928,1276,Metal Clearing House,6,Canada,CA,1275,SC,Mr.,Vamsi,,Kuppa,0
29929,AW00029929,1278,Many Bikes Store,4,Southwest,US,1277,SC,Mr.,Jeffrey,,Kurtz,2
29930,AW00029930,1280,Largest Bike Store,3,Central,US,1279,SC,Mr.,Peter,,Kurniawan,0
29931,AW00029931,1282,Kickstands and Accessories Company,1,Northwest,US,1281,SC,Mr.,Eric,,Lang,0
29932,AW00029932,1284,Instruments and Parts Company,10,United Kingdom,GB,1283,SC,Ms.,Rebecca,,Laszlo,0
29933,AW00029933,1286,Neighborhood Bicycle Storehouse,7,France,FR,1285,SC,Ms.,Cecilia,M.,Laursen,0
29934,AW00029934,1288,Gear-Shift Bikes Limited,6,Canada,CA,1287,SC,Mr.,David,O,Lawrence,0
29935,AW00029935,1290,Frugal Bike Shop,1,Northwest,US,1289,SC,Ms.,Elsa,,Leavitt,0
29936,AW00029936,1292,Family Entertainment Center,1,Northwest,US,1291,SC,Mr.,Michael,J.,Lee,1
29937,AW00029937,1294,Go-cart and Bike Specialists,4,Southwest,US,1293,SC,Ms.,Marjorie,M.,Lee,0
29938,AW00029938,1296,Trailblazing Sports,4,Southwest,US,1295,SC,Mr.,Frank,,Campbell,1
29939,AW00029939,1298,Racing Partners,6,Canada,CA,1297,SC,Mr.,Mark,,Lee,0
29940,AW00029940,1300,Perfect Toys,7,France,FR,1299,SC,Mr.,Robertson,,Lee,2
29941,AW00029941,1302,Exhibition Showroom,10,United Kingdom,GB,1301,SC,Ms.,Jolie,,Lenehan,0
29942,AW00029942,1304,Authorized Bike Sales and Rental,1,Northwest,US,1303,SC,Mr.,Roger,,Lengel,2
29943,AW00029943,1306,Two-Seater Bikes,4,Southwest,US,1305,SC,,A.,Francesca,Leonetti,2
29944,AW00029944,1308,More Bikes!,4,Southwest,US,1307,SC,Ms.,Bonnie,B.,Lepro,0
29945,AW00029945,1310,Unified Sports Company,5,Southeast,US,1309,SC,Ms.,Gloria,J.,Lesko,0
29946,AW00029946,1312,National Manufacturing,6,Canada,CA,1311,SC,Ms.,Linda,,Leste,1
29947,AW00029947,1316,Wheelsets Storehouse,2,Northeast,US,1315,SC,Ms.,Judy,,Lew,1
29948,AW00029948,1318,Town Industries,4,Southwest,US,1317,SC,Ms.,Elsie,L.,Lewin,0
29949,AW00029949,1320,Security Racks and Locks Wholesalers,1,Northwest,US,1319,SC,Mr.,George,Z.,Li,0
29950,AW00029950,1322,Rapid Bikes,6,Canada,CA,1321,SC,Mr.,Yale,,Li,1
29951,AW00029951,1324,Metro Sports Equipment,7,France,FR,1323,SC,Ms.,Yan,,Li,0
29952,AW00029952,1326,Nearby Sporting Goods,10,United Kingdom,GB,1325,SC,Ms.,Yuhong,,Li,0
29953,AW00029953,1328,Front Sporting Goods,1,Northwest,US,1327,SC,Mr.,Joseph,M.,Lique,0
29954,AW00029954,1330,Elite Bikes,4,Southwest,US,1329,SC,Mr.,Paulo,H.,Lisboa,0
29955,AW00029955,1332,Catalog Store,3,Central,US,1331,SC,Mr.,David,J.,Liu,1
29956,AW00029956,1334,Chic Department Stores,4,Southwest,US,1333,SC,,Jinghao,,Liu,2
29957,AW00029957,1336,Eastside Department Store,4,Southwest,US,1335,SC,Mr.,Kevin,,Liu,2
29958,AW00029958,1338,Sports Sales and Rental,5,Southeast,US,1337,SC,Mr.,Run,,Liu,1
29959,AW00029959,1340,Cycle Merchants,6,Canada,CA,1339,SC,Mr.,Todd,R.,Logan,0
29960,AW00029960,1342,Global Sports Outlet,9,Australia,AU,1341,SC,Mr.,Kok-Ho,,Loh,1
29961,AW00029961,1344,Exotic Bikes,2,Northeast,US,1343,SC,Mr.,John,K.,Long,0
29962,AW00029962,1346,Fitness Hotel,3,Central,US,1345,SC,Ms.,Sharon,J.,Looney,0
29963,AW00029963,1350,Every Bike Shop,5,Southeast,US,1349,SC,Mr.,Spencer,,Low,0
29964,AW00029964,1352,Grand Industries,6,Canada,CA,1351,SC,Ms.,Anita,R.,Lucerne,1
29965,AW00029965,1354,Ideal Components,9,Australia,AU,1353,SC,Mr.,Jose,,Lugo,1
29966,AW00029966,1356,Larger Cycle Shop,2,Northeast,US,1355,SC,Mr.,Richard,,Lum,0
29967,AW00029967,1358,Leading Sales & Repair,3,Central,US,1357,SC,Ms.,Judy,R.,Lundahl,0
29968,AW00029968,1362,Metro Bike Mart,5,Southeast,US,1361,SC,Ms.,Helen,R.,Lutes,2
29969,AW00029969,1364,Tandem Sales and Service,6,Canada,CA,1363,SC,Mr.,Robert,P.,Lyeba,0
29970,AW00029970,1366,Sensible Sports,9,Australia,AU,1365,SC,Ms.,Sharon,F.,Lynn,0
29971,AW00029971,1368,Reliable Retail Center,6,Canada,CA,1367,SC,Mr.,Robert,,Lyon,1
29972,AW00029972,1370,Liquidation Sales,9,Australia,AU,1369,SC,Ms.,Jenny,,Lysaker,0
29973,AW00029973,1372,Friendly Bike Shop,3,Central,US,1371,SC,Ms.,Denise,R.,Maccietto,0
29974,AW00029974,1374,Yellow Bicycle Company,3,Central,US,1373,SC,Mr.,Scott,,MacDonald,0
29975,AW00029975,1376,Sports Products Store,4,Southwest,US,1375,SC,Mr.,Walter,J.,Mays,1
29976,AW00029976,1378,Selected Distributors,5,Southeast,US,1377,SC,Mr.,Patrick,J.,Magenheimer,2
29977,AW00029977,1380,Impervious Paint Company,7,France,FR,1379,SC,Ms.,Kimberly,N.,Malmendier,0
29978,AW00029978,1382,Shipping Specialists,10,United Kingdom,GB,1381,SC,Mr.,Ajay,,Manchepalli,0
29979,AW00029979,1384,Finer Sporting Goods,7,France,FR,1383,SC,Ms.,Parul,,Manek,0
29980,AW00029980,1386,Authentic Sales and Service,10,United Kingdom,GB,1385,SC,Mr.,Tomas,M.,Manzanares,1
29981,AW00029981,1388,Official Parts Shop,1,Northwest,US,1387,SC,Ms.,Kathy,R.,Marcovecchio,0
29982,AW00029982,1392,Discount Tours,4,Southwest,US,1391,SC,Ms.,Melissa,R.,Marple,2
29983,AW00029983,1394,Tire Exchange,6,Canada,CA,1393,SC,Ms.,Cecelia,L.,Marshall,1
29984,AW00029984,1396,Racing Tours,7,France,FR,1395,SC,Mr.,Benjamin,,Martin,2
29985,AW00029985,1398,Oils and Fluids Warehouse,10,United Kingdom,GB,1397,SC,Ms.,Linda,,Martin,0
29986,AW00029986,1400,Finished Parts Shop,7,France,FR,1399,SC,Ms.,Mindy,,Martin,1
29987,AW00029987,1404,Rally Master Company Inc,4,Southwest,US,1403,SC,Mr.,Frank,,Mart!nez,1
29988,AW00029988,1406,Professional Cyclists,6,Canada,CA,1405,SC,Mr.,Steve,,Masters,0
29989,AW00029989,1408,Sports Products Store,7,France,FR,1407,SC,Mr.,Joseph,,Matthews,0
29990,AW00029990,1410,Exclusive Bicycle Mart,10,United Kingdom,GB,1409,SC,Ms.,Jennifer,J.,Maxham,0
29991,AW00029991,1412,City Manufacturing,1,Northwest,US,1411,SC,Mr.,Chris,,Maxwell,0
29992,AW00029992,1414,Bike Dealers Association,4,Southwest,US,1413,SC,Ms.,Sandra,B.,Maynard,1
29993,AW00029993,1416,Pedal Systems Company,5,Southeast,US,1415,SC,Mr.,John,J.,McClane,0
29994,AW00029994,1418,Health Spa, Limited,6,Canada,CA,1417,SC,Ms.,Robin,M.,McGuigan,1
29995,AW00029995,1420,Global Bike Retailers,8,Germany,DE,1419,SC,Ms.,Stacie,K.,Mcanich,0
29996,AW00029996,1422,Fashionable Department Stores,2,Northeast,US,1421,SC,Ms.,Katie,,McAskill-White,2
29997,AW00029997,1424,Closeout Boutique,1,Northwest,US,1423,SC,Ms.,Lola,M.,McCarthy,0
29998,AW00029998,1426,Bicycle Merchandise Warehouse,4,Southwest,US,1425,SC,Ms.,Jane,A.,McCarty,2
29999,AW00029999,1428,Spoke Manufacturers,5,Southeast,US,1427,SC,Ms.,Nikki,,McCormick,1
30000,AW00030000,1430,Leather Seat Factory,6,Canada,CA,1429,SC,Mr.,James,L.,McCoy,0
30001,AW00030001,1432,Good Bicycle Store,8,Germany,DE,1431,SC,Ms.,Christinia,A.,McDonald,1
30002,AW00030002,1434,Endurance Bikes,2,Northeast,US,1433,SC,Mr.,Alejandro,,McGuel,0
30003,AW00030003,1436,Practical Bike Supply Company,3,Central,US,1435,SC,Ms.,Yvonne,,McKay,0
30004,AW00030004,1438,Some Discount Store,1,Northwest,US,1437,SC,Ms.,Nkenge,,McLin,1
30005,AW00030005,1440,Variety Cycling,10,United Kingdom,GB,1439,SC,Ms.,Nancy,A.,McPhearson,2
30006,AW00030006,1442,Accessories Network,7,France,FR,1441,SC,Ms.,Nellie,T.,Medina,0
30007,AW00030007,1444,Remote Bicycle Specialists,6,Canada,CA,1443,SC,Ms.,Raquel,,Mello,1
30008,AW00030008,1448,Friendly Neighborhood Bikes,3,Central,US,1447,SC,Mr.,R. Morgan,L.,Mendoza,0
30009,AW00030009,1450,Guaranteed Sales and Service,2,Northeast,US,1449,SC,Mr.,Tosh,,Meston,0
30010,AW00030010,1454,Recommended Bicycles,6,Canada,CA,1453,SC,Mr.,Stephen,A.,Mew,0
30011,AW00030011,1456,Sunny Place Bikes,5,Southeast,US,1455,SC,Mr.,Eric,B.,Meyer,0
30012,AW00030012,1458,Alpine Ski House,4,Southwest,US,1457,SC,Ms.,Helen,M.,Meyer,0
30013,AW00030013,1460,Cycles and Scooters,5,Southeast,US,1459,SC,Ms.,Deanna,,Meyer,0
30014,AW00030014,1462,Small Bike Accessories Shop,2,Northeast,US,1461,SC,Mr.,Gary,P.,Meyerhoff,0
30015,AW00030015,1464,List Price Catalog Company,9,Australia,AU,1463,SC,Mr.,Ramesh,,Meyyappan,0
30016,AW00030016,1466,Seats and Saddles Company,6,Canada,CA,1465,SC,Mr.,Thomas,R.,Michaels,2
30017,AW00030017,1468,Village Tours,5,Southeast,US,1467,SC,Mr.,Jan,,Miksovsky,1
30018,AW00030018,1470,All Cycle Shop,1,Northwest,US,1469,SC,Ms.,Virginia,L.,Miller,1
30019,AW00030019,1472,Tachometers and Accessories,10,United Kingdom,GB,1471,SC,Mr.,Matthew,J.,Miller,0
30020,AW00030020,1474,Cycles Sales and Repair,7,France,FR,1473,SC,Mr.,Emilo,R.,Miller,0
30021,AW00030021,1476,Low Price Cycles,6,Canada,CA,1475,SC,Mr.,Ben,,Miller,1
30022,AW00030022,1478,Metropolitan Manufacturing,4,Southwest,US,1477,SC,Mr.,Dylan,,Miller,1
30023,AW00030023,1480,Orange Bicycle Company,3,Central,US,1479,SC,Mr.,Frank,,Miller,0
30024,AW00030024,1482,Riding Associates,1,Northwest,US,1481,SC,Ms.,Neva,M.,Mitchell,0
30025,AW00030025,1484,Essential Bike Works,10,United Kingdom,GB,1483,SC,Ms.,Linda,,Mitchell,0
30026,AW00030026,1486,Rural Mountain Bike Mart,7,France,FR,1485,SC,Mr.,Scott,,Mitchell,1
30027,AW00030027,1490,Engineered Bike Systems,4,Southwest,US,1489,SC,Mr.,Joseph,P.,Mitzner,2
30028,AW00030028,1796,Professional Containers and Packaging Co.,4,Southwest,US,1795,SC,Ms.,Laura,C.,Steele,0
30029,AW00030029,1798,One Bike Company,6,Canada,CA,1797,SC,Ms.,Shanay,B.,Steelman,0
30030,AW00030030,1802,Cycling Goods,10,United Kingdom,GB,1801,SC,Mr.,Stefano,,Stefani,1
30031,AW00030031,1804,Cycle Clearance,1,Northwest,US,1803,SC,Mr.,Alan,,Steiner,0
30032,AW00030032,1806,Black Bicycle Company,3,Central,US,1805,SC,Mr.,Derik,,Stenerson,2
30033,AW00030033,1808,Transport Bikes,1,Northwest,US,1807,SC,Mr.,Vassar,J.,Stern,0
30034,AW00030034,1810,Sellers of Cycles,1,Northwest,US,1809,SC,Ms.,Wathalee,R.,Steuber,2
30035,AW00030035,1812,Maintenance and Repair for Bicycles,4,Southwest,US,1811,SC,Ms.,Alice,M.,Steiner,2
30036,AW00030036,1814,Fitness Department Stores,4,Southwest,US,1813,SC,Ms.,Liza Marie,N.,Stevens,2
30037,AW00030037,1816,Famous Bike Shop,6,Canada,CA,1815,SC,Mr.,Jim,,Stewart,1
30038,AW00030038,1818,Eastward Bike Accessories,9,Australia,AU,1817,SC,Ms.,Judy,R.,Storjohann,2
30039,AW00030039,1822,Gift and Toy Store,3,Central,US,1821,SC,Mr.,Robert,B.,Stotka,0
30040,AW00030040,1824,Major Sporting Goods,4,Southwest,US,1823,SC,Ms.,Kayla,M.,Stotler,0
30041,AW00030041,1826,Executive Discount Store,5,Southeast,US,1825,SC,Mr.,Charles,J.,Strange,0
30042,AW00030042,1828,Major Cycling,6,Canada,CA,1827,SC,Ms.,Ruby Sue,R.,Styles,0
30043,AW00030043,1830,Getaway Inn,7,France,FR,1829,SC,Mr.,Min,,Su,0
30044,AW00030044,1832,Downhill Bicycle Specialists,10,United Kingdom,GB,1831,SC,Mr.,Gary,J.,Suess,0
30045,AW00030045,1834,Bike Experts,1,Northwest,US,1833,SC,Ms.,Ruth,J.,Suffin,1
30046,AW00030046,1836,Extraordinary Bike Works,4,Southwest,US,1835,SC,Ms.,Elizabeth,J.,Sullivan,1
30047,AW00030047,1838,Valley Bicycle Distributors,4,Southwest,US,1837,SC,Mr.,Michael,,Sullivan,2
30048,AW00030048,1840,Top Sports Supply,6,Canada,CA,1839,SC,Ms.,Marcia,J.,Sultan,0
30049,AW00030049,1842,Racing Sales and Service,7,France,FR,1841,SC,Mr.,Nate,,Sun,0
30050,AW00030050,1844,Metropolitan Bicycle Supply,10,United Kingdom,GB,1843,SC,Mr.,Krishna,,Sunkammurali,0
